epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,990.771,0.50448,0.69986,0.39674,0.9038,0.9396,0.91279,0.95321,0.87952,0.94674,0.92013,0.95739,0.83061,0.3851,0.69215,0.33457,0.83588,0.000604,0.000604,0.000604
42,1004.36,0.50611,0.69413,0.39615,0.91064,0.95004,0.9185,0.95535,0.87847,0.95521,0.92339,0.95582,0.83291,0.40349,0.69379,0.3263,0.84665,0.0005941,0.0005941,0.0005941
43,1015.77,0.51122,0.69243,0.39954,0.91213,0.94949,0.92584,0.95783,0.87002,0.95865,0.92593,0.9601,0.83358,0.4256,0.67442,0.32732,0.84131,0.0005842,0.0005842,0.0005842
44,1026.69,0.51332,0.68946,0.39418,0.90964,0.95098,0.91703,0.95885,0.89218,0.95765,0.92136,0.95993,0.85342,0.35635,0.64348,0.30245,0.83344,0.0005743,0.0005743,0.0005743
45,1039.58,0.50593,0.69162,0.3922,0.90809,0.95495,0.89844,0.94862,0.87786,0.93435,0.92665,0.95086,0.83824,0.38882,0.63991,0.33138,0.84288,0.0005644,0.0005644,0.0005644
46,1049.84,0.50544,0.66603,0.38791,0.90434,0.95177,0.90139,0.94949,0.87992,0.95119,0.90628,0.95038,0.83127,0.38206,0.72413,0.33728,0.84147,0.0005545,0.0005545,0.0005545
47,1067.92,0.50992,0.69564,0.3918,0.91246,0.94809,0.91932,0.95533,0.88372,0.95216,0.92464,0.95622,0.83881,0.38728,0.66858,0.33327,0.83744,0.0005446,0.0005446,0.0005446
48,1080.57,0.49997,0.67956,0.38452,0.90518,0.96302,0.91267,0.95808,0.87225,0.96818,0.91756,0.95876,0.83343,0.42336,0.69332,0.32284,0.84189,0.0005347,0.0005347,0.0005347
49,1092.5,0.50248,0.67515,0.39097,0.90953,0.94708,0.92013,0.95426,0.88636,0.94993,0.9278,0.96205,0.8384,0.37455,0.67466,0.32195,0.83973,0.0005248,0.0005248,0.0005248
50,1102.79,0.4937,0.68698,0.38026,0.89985,0.95961,0.90995,0.95045,0.87801,0.96327,0.9192,0.95367,0.83304,0.37186,0.74267,0.31547,0.84292,0.0005149,0.0005149,0.0005149
51,1113.64,0.50274,0.674,0.38797,0.90683,0.96256,0.91524,0.95679,0.87344,0.96388,0.92013,0.95753,0.82828,0.41199,0.70673,0.31297,0.84347,0.000505,0.000505,0.000505
52,1124.58,0.4948,0.6664,0.37896,0.90534,0.96238,0.90872,0.95668,0.88178,0.96629,0.91198,0.95526,0.83367,0.39119,0.69121,0.31248,0.84178,0.0004951,0.0004951,0.0004951
53,1137.29,0.50528,0.67619,0.38145,0.90386,0.96333,0.92052,0.96001,0.88992,0.96937,0.92864,0.96112,0.84829,0.36203,0.63793,0.30761,0.83667,0.0004852,0.0004852,0.0004852
54,1148.14,0.49499,0.66836,0.37981,0.9081,0.95025,0.92828,0.95923,0.8885,0.95491,0.93204,0.9582,0.84077,0.37429,0.6683,0.3005,0.83956,0.0004753,0.0004753,0.0004753
